app,method,path,query_params,status,user_agent,response_time
dvwa,GET,/,,302,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.23
dvwa,GET,/login.php,,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.061
dvwa,GET,/dvwa/images/login_logo.png,,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.036
dvwa,GET,/dvwa/css/login.css,,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.038
dvwa,GET,/favicon.ico,,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.013
dvwa,GET,/,,302,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.085
dvwa,GET,/login.php,,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.056
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.073
dvwa,GET,/,,302,python-requests/2.32.5,0.059
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.042
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.01
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.014
dvwa,GET,/,,302,python-requests/2.32.5,0.008
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.03
dvwa,GET,/,,302,python-requests/2.32.5,0.013
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.033
dvwa,GET,/,,302,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.003
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.004
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.005
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.014
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.003
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/,,302,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.005
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.003
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.004
dvwa,GET,/,,302,python-requests/2.32.5,0.004
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.004
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.003
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.002
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.008
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.004
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.006
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.003
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/,,302,python-requests/2.32.5,0.004
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.008
dvwa,GET,/,,302,python-requests/2.32.5,0.002
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.004
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.004
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.032
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.011
dvwa,GET,/WebGoat,,404,python-requests/2.32.5,0.002
dvwa,GET,/,,302,python-requests/2.32.5,0.004
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.004
dvwa,GET,/socket.io/,"EIO,transport",404,python-requests/2.32.5,0.004
dvwa,GET,/,,302,python-requests/2.32.5,0.005
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/,,302,python-requests/2.32.5,0.006
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.007
dvwa,GET,/login.php,,200,python-requests/2.32.5,0.009
dvwa,GET,/,,302,python-requests/2.32.5,0.006
